label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Fist,0.000000,0.000000,0.000000,-0.245167,-0.024554,-0.067705,-0.520263,-0.369829,-0.081941,-0.641095,-0.777039,-0.108134,-0.608134,-1.104295,-0.109616,-0.439057,-0.864398,0.069853,-0.565935,-1.044386,-0.059488,-0.485594,-0.742409,-0.109257,-0.426615,-0.711715,-0.120452,-0.302800,-0.951396,0.056198,-0.450753,-1.147706,-0.079698,-0.348027,-0.714295,-0.069575,-0.278009,-0.734061,-0.012768,-0.153255,-1.021778,0.008827,-0.289213,-1.209684,-0.134233,-0.210880,-0.777646,-0.059097,-0.144571,-0.760907,0.041937,0.013346,-1.073926,-0.048255,-0.118386,-1.258559,-0.114199,-0.095603,-0.949097,-0.051981,-0.040975,-0.886560,0.021928
Fist,0.000000,0.000000,0.000000,-0.252768,-0.003784,-0.073098,-0.535141,-0.342049,-0.086043,-0.655345,-0.771107,-0.106997,-0.610193,-1.102015,-0.099514,-0.458817,-0.867065,0.057306,-0.592595,-1.021979,-0.070659,-0.496779,-0.702614,-0.120462,-0.442216,-0.720035,-0.135024,-0.317924,-0.946892,0.048159,-0.467164,-1.127276,-0.095358,-0.353426,-0.694732,-0.088476,-0.292307,-0.746784,-0.034076,-0.167891,-1.018642,0.006375,-0.304008,-1.194253,-0.141355,-0.218037,-0.760428,-0.067929,-0.158198,-0.777795,0.032116,-0.005554,-1.090325,-0.044951,-0.134959,-1.249249,-0.107775,-0.105830,-0.937399,-0.045340,-0.051919,-0.903724,0.027702
Fist,0.000000,0.000000,0.000000,-0.249754,-0.014680,-0.067091,-0.527396,-0.339355,-0.083361,-0.646093,-0.754495,-0.111403,-0.601413,-1.087528,-0.113391,-0.452590,-0.861994,0.063585,-0.579878,-1.024385,-0.070919,-0.491876,-0.718479,-0.120879,-0.436529,-0.713955,-0.132200,-0.312424,-0.948726,0.048070,-0.459445,-1.124248,-0.095577,-0.346240,-0.685508,-0.083036,-0.284841,-0.737223,-0.022720,-0.161764,-1.022388,-0.001223,-0.293735,-1.181762,-0.153738,-0.207291,-0.742745,-0.074989,-0.146620,-0.755087,0.031195,0.003127,-1.080521,-0.059603,-0.126109,-1.247566,-0.128388,-0.096392,-0.928965,-0.061784,-0.041908,-0.882106,0.016819
Fist,0.000000,0.000000,0.000000,-0.245895,-0.014990,-0.070640,-0.528818,-0.353185,-0.084931,-0.653254,-0.772500,-0.111143,-0.597554,-1.095565,-0.113118,-0.448332,-0.854856,0.077092,-0.571995,-1.024022,-0.050868,-0.495326,-0.726285,-0.098552,-0.440918,-0.713863,-0.108832,-0.310089,-0.948498,0.064781,-0.456074,-1.125162,-0.076166,-0.352050,-0.693361,-0.065909,-0.283976,-0.729241,-0.005802,-0.159489,-1.021598,0.017454,-0.295092,-1.185543,-0.132359,-0.216679,-0.756641,-0.062494,-0.153020,-0.757102,0.038248,0.007810,-1.078547,-0.039115,-0.128336,-1.242154,-0.107118,-0.100566,-0.933037,-0.048260,-0.042694,-0.883666,0.024514
Fist,0.000000,0.000000,0.000000,-0.242834,-0.010666,-0.065756,-0.527962,-0.352151,-0.080540,-0.649861,-0.776625,-0.107430,-0.594515,-1.103267,-0.109612,-0.452876,-0.862729,0.070863,-0.586066,-0.986444,-0.055658,-0.499933,-0.703635,-0.101530,-0.439740,-0.741538,-0.112212,-0.313286,-0.947970,0.056611,-0.464625,-1.122207,-0.081666,-0.355840,-0.686375,-0.064566,-0.291333,-0.748790,-0.000530,-0.164695,-1.021735,0.008622,-0.308312,-1.183826,-0.138597,-0.225311,-0.749110,-0.062984,-0.161153,-0.767628,0.040515,-0.003079,-1.085953,-0.048380,-0.138898,-1.252076,-0.113619,-0.111211,-0.947236,-0.052333,-0.051780,-0.909762,0.021297
Fist,0.000000,0.000000,0.000000,-0.241585,-0.016669,-0.064328,-0.519769,-0.356182,-0.078046,-0.641091,-0.763424,-0.103714,-0.586652,-1.085647,-0.105133,-0.448727,-0.860938,0.072527,-0.580335,-1.003492,-0.053320,-0.497006,-0.704471,-0.100947,-0.440683,-0.712102,-0.112276,-0.311435,-0.948466,0.058488,-0.466370,-1.120235,-0.077493,-0.358598,-0.683637,-0.064357,-0.290659,-0.725577,-0.003667,-0.162383,-1.017659,0.011257,-0.305371,-1.178074,-0.131870,-0.223667,-0.744039,-0.059971,-0.157230,-0.748332,0.040242,0.000431,-1.074513,-0.044714,-0.136605,-1.240502,-0.108081,-0.109294,-0.935337,-0.048066,-0.050427,-0.889699,0.024536
Fist,0.000000,0.000000,0.000000,-0.239011,0.012235,-0.074696,-0.539634,-0.331720,-0.092971,-0.667119,-0.775413,-0.121274,-0.602111,-1.109216,-0.125501,-0.474693,-0.842351,0.062523,-0.601246,-0.983413,-0.066078,-0.514740,-0.696271,-0.110876,-0.456513,-0.709037,-0.119129,-0.332705,-0.941555,0.052744,-0.482142,-1.110463,-0.085806,-0.365338,-0.675016,-0.066530,-0.300211,-0.721345,0.000224,-0.180405,-1.018486,0.008076,-0.317855,-1.172881,-0.140347,-0.229067,-0.740557,-0.066574,-0.165848,-0.744905,0.036508,-0.014695,-1.085011,-0.045775,-0.152343,-1.247130,-0.112318,-0.116884,-0.939116,-0.052970,-0.058373,-0.891482,0.019631
Fist,0.000000,0.000000,0.000000,-0.236107,0.021810,-0.080734,-0.543108,-0.324082,-0.096132,-0.679923,-0.763169,-0.120387,-0.616595,-1.100799,-0.118716,-0.483397,-0.837367,0.065598,-0.607576,-1.005361,-0.064417,-0.514903,-0.696811,-0.111254,-0.458153,-0.701210,-0.121387,-0.340939,-0.938221,0.059171,-0.485948,-1.130104,-0.083557,-0.370471,-0.682536,-0.070368,-0.307960,-0.720991,-0.006297,-0.187505,-1.016892,0.017102,-0.318917,-1.193288,-0.135586,-0.231550,-0.750714,-0.065561,-0.171025,-0.753670,0.036870,-0.021407,-1.087374,-0.034500,-0.152663,-1.249238,-0.104126,-0.117221,-0.939892,-0.047304,-0.060785,-0.898070,0.024449
Fist,0.000000,0.000000,0.000000,-0.233083,-0.003248,-0.073084,-0.527726,-0.345182,-0.088384,-0.652862,-0.779205,-0.113580,-0.585488,-1.104095,-0.113485,-0.450374,-0.857315,0.064322,-0.580828,-0.997019,-0.060078,-0.491139,-0.691669,-0.101844,-0.435223,-0.719500,-0.109503,-0.309452,-0.949302,0.055367,-0.460506,-1.121492,-0.079174,-0.351958,-0.676617,-0.058606,-0.294092,-0.738458,0.007705,-0.162296,-1.021216,0.011936,-0.301379,-1.187385,-0.131343,-0.219877,-0.745630,-0.056493,-0.158536,-0.764827,0.046013,-0.003700,-1.087323,-0.040952,-0.137990,-1.245208,-0.101161,-0.109320,-0.934594,-0.040736,-0.051461,-0.898920,0.031081
Fist,0.000000,0.000000,0.000000,-0.243513,-0.007444,-0.061191,-0.534768,-0.339029,-0.072851,-0.651725,-0.778330,-0.098206,-0.600753,-1.111752,-0.100747,-0.452427,-0.854030,0.074360,-0.592251,-0.983881,-0.053650,-0.507732,-0.712253,-0.097972,-0.445847,-0.740689,-0.105601,-0.314073,-0.947636,0.057821,-0.473615,-1.115179,-0.081037,-0.355420,-0.674551,-0.060829,-0.287565,-0.731202,0.006812,-0.164737,-1.026773,0.007216,-0.311108,-1.187717,-0.141901,-0.222464,-0.743323,-0.063515,-0.155985,-0.749015,0.043598,-0.001441,-1.094744,-0.052033,-0.143340,-1.261260,-0.118048,-0.112185,-0.941249,-0.054244,-0.051764,-0.891438,0.022105
Fist,0.000000,0.000000,0.000000,-0.240275,0.004238,-0.067054,-0.530872,-0.325427,-0.078370,-0.657837,-0.739575,-0.101513,-0.604045,-1.049306,-0.100345,-0.462220,-0.849467,0.072302,-0.597902,-0.982223,-0.053560,-0.507054,-0.696787,-0.099455,-0.444917,-0.704329,-0.108802,-0.324234,-0.944061,0.060172,-0.476406,-1.088646,-0.074967,-0.358931,-0.667080,-0.058882,-0.291399,-0.719731,0.003316,-0.174326,-1.018615,0.013897,-0.315246,-1.158662,-0.130361,-0.227039,-0.732954,-0.056690,-0.161590,-0.738273,0.044696,-0.011454,-1.079022,-0.041732,-0.149407,-1.229281,-0.106643,-0.118091,-0.918369,-0.046866,-0.059764,-0.870288,0.025706
