label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127
Pray_Sign,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284707,-0.360229,-0.003667,0.513387,-0.887745,-0.061669,0.558567,-1.424937,-0.110677,0.482149,-1.848648,-0.176728,0.537240,-1.016801,-0.232312,0.315840,-1.814512,-0.332242,0.161988,-2.186525,-0.379675,0.065757,-2.436469,-0.405369,0.339418,-0.897302,-0.282213,0.115668,-1.806162,-0.363422,-0.021383,-2.261196,-0.396875,-0.108613,-2.560607,-0.433721,0.117647,-0.809151,-0.319312,-0.049821,-1.678684,-0.389902,-0.151179,-2.132478,-0.404252,-0.209674,-2.455118,-0.423182,-0.119151,-0.755772,-0.348029,-0.227492,-1.443770,-0.419590,-0.279474,-1.800215,-0.434121,-0.304472,-2.100477,-0.443068,1.000000
Pray_Sign,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280438,-0.355658,0.010218,0.489285,-0.893482,-0.047253,0.532278,-1.414519,-0.098412,0.462484,-1.835707,-0.167685,0.533077,-1.005701,-0.242987,0.309100,-1.809494,-0.339706,0.151905,-2.188022,-0.379435,0.043125,-2.437481,-0.400522,0.321679,-0.897853,-0.300638,0.102220,-1.803255,-0.383763,-0.027216,-2.244879,-0.414075,-0.109400,-2.534907,-0.450349,0.088349,-0.828662,-0.341898,-0.081232,-1.711922,-0.411380,-0.175529,-2.170519,-0.421574,-0.232663,-2.494941,-0.441084,-0.151782,-0.796557,-0.372772,-0.259047,-1.474163,-0.439616,-0.302645,-1.820150,-0.448742,-0.314741,-2.113313,-0.456771,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.206491,-0.378790,0.013505,-0.312843,-0.884012,-0.031208,-0.297434,-1.365376,-0.073658,-0.244605,-1.702109,-0.118641,-0.349710,-1.049754,-0.177083,-0.077606,-1.701362,-0.253069,0.077699,-1.998270,-0.280327,0.198667,-2.213969,-0.290908,-0.196550,-0.954209,-0.225506,0.059784,-1.706170,-0.290952,0.205683,-2.073452,-0.297273,0.314917,-2.325903,-0.297349,-0.002491,-0.826954,-0.261892,0.184067,-1.580242,-0.310082,0.289282,-1.990543,-0.305720,0.363575,-2.286545,-0.298858,0.212543,-0.710574,-0.292504,0.313669,-1.340226,-0.320620,0.355883,-1.700047,-0.307877,0.391090,-1.993923,-0.292664,1.000000,0.000000,0.000000,0.000000,0.256298,-0.337593,0.021093,0.455056,-0.866438,-0.016404,0.495130,-1.381520,-0.051333,0.432962,-1.778523,-0.104450,0.513068,-1.001326,-0.181635,0.295345,-1.770975,-0.264267,0.137513,-2.134335,-0.299978,0.031861,-2.358445,-0.318767,0.323602,-0.915539,-0.238894,0.106562,-1.782423,-0.306323,-0.035476,-2.195371,-0.328108,-0.122976,-2.464545,-0.355316,0.103835,-0.853143,-0.283508,-0.060684,-1.689269,-0.342684,-0.162661,-2.113827,-0.346993,-0.220818,-2.418571,-0.360402,-0.130402,-0.810055,-0.318599,-0.239123,-1.453947,-0.378933,-0.287051,-1.775045,-0.384268,-0.299593,-2.056647,-0.388301,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.207435,-0.402415,-0.010827,-0.312308,-0.932052,-0.067691,-0.294011,-1.426728,-0.119839,-0.249274,-1.757704,-0.173304,-0.362921,-1.059810,-0.202203,-0.099693,-1.708850,-0.297893,0.051304,-1.998012,-0.342525,0.170702,-2.211795,-0.367271,-0.208839,-0.945542,-0.249672,0.028689,-1.704460,-0.344047,0.175236,-2.082100,-0.373403,0.281986,-2.346112,-0.388804,-0.018890,-0.816178,-0.287252,0.157579,-1.581429,-0.362946,0.270138,-2.002751,-0.376242,0.346149,-2.309782,-0.378953,0.188112,-0.715413,-0.320773,0.293449,-1.330117,-0.369808,0.331498,-1.692793,-0.371299,0.358395,-1.997276,-0.366065,1.000000,0.000000,0.000000,0.000000,0.270840,-0.348213,0.018053,0.467219,-0.851382,-0.022668,0.487868,-1.362448,-0.061582,0.439293,-1.745558,-0.115490,0.508083,-0.997391,-0.173637,0.309705,-1.756730,-0.267834,0.161677,-2.103733,-0.314961,0.053384,-2.327655,-0.339596,0.322580,-0.918346,-0.229311,0.124885,-1.766159,-0.310562,-0.010886,-2.177117,-0.346575,-0.105190,-2.447028,-0.379844,0.111678,-0.863576,-0.273081,-0.039957,-1.686849,-0.340881,-0.136074,-2.086150,-0.351900,-0.194203,-2.372100,-0.365501,-0.114555,-0.826713,-0.307985,-0.223754,-1.454960,-0.369730,-0.268365,-1.766843,-0.378636,-0.279190,-2.038074,-0.382881,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.206819,-0.393029,-0.002110,-0.312392,-0.891016,-0.053899,-0.301892,-1.369463,-0.104740,-0.254013,-1.694885,-0.157983,-0.369860,-1.053835,-0.172172,-0.115373,-1.655165,-0.263479,0.033021,-1.937402,-0.308324,0.147898,-2.148267,-0.334196,-0.243778,-0.943444,-0.224691,-0.008161,-1.644686,-0.313707,0.141876,-2.000444,-0.341676,0.250711,-2.251800,-0.356239,-0.069862,-0.802637,-0.269152,0.109629,-1.513207,-0.344941,0.229224,-1.911383,-0.357019,0.304814,-2.201803,-0.357731,0.133024,-0.678475,-0.309697,0.236265,-1.277262,-0.360411,0.282838,-1.616104,-0.360630,0.313510,-1.894215,-0.353383,1.000000,0.000000,0.000000,0.000000,0.273827,-0.345391,0.036444,0.458885,-0.858639,0.009861,0.487359,-1.361291,-0.018239,0.442278,-1.738886,-0.062111,0.511115,-1.013170,-0.149460,0.303898,-1.754246,-0.226095,0.153810,-2.089711,-0.256511,0.049708,-2.303122,-0.271080,0.324747,-0.922023,-0.210742,0.115233,-1.753838,-0.281883,-0.022234,-2.153044,-0.309226,-0.113930,-2.418510,-0.335678,0.112318,-0.857030,-0.258711,-0.047129,-1.672982,-0.323335,-0.145903,-2.073816,-0.330197,-0.205040,-2.365768,-0.338923,-0.113929,-0.804189,-0.295701,-0.217509,-1.453064,-0.356213,-0.263787,-1.766987,-0.361429,-0.277861,-2.036990,-0.361568,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.199026,-0.429718,0.008660,-0.299786,-0.939838,-0.037111,-0.288853,-1.428163,-0.083829,-0.246777,-1.751157,-0.131750,-0.368672,-1.078890,-0.161408,-0.101740,-1.713512,-0.248172,0.047962,-1.993476,-0.292168,0.161647,-2.204616,-0.318151,-0.230785,-0.948724,-0.216010,0.014634,-1.704387,-0.302746,0.161809,-2.075313,-0.334420,0.269698,-2.336014,-0.352460,-0.047742,-0.810552,-0.260734,0.139741,-1.579413,-0.332664,0.254450,-1.992422,-0.346786,0.330354,-2.290753,-0.350027,0.156255,-0.709760,-0.300447,0.270326,-1.328419,-0.344561,0.306762,-1.681793,-0.343738,0.331653,-1.979304,-0.336952,1.000000,0.000000,0.000000,0.000000,0.262269,-0.344029,0.034762,0.449708,-0.846155,0.003101,0.475888,-1.341277,-0.031241,0.424545,-1.707166,-0.081237,0.489251,-1.006259,-0.146191,0.297522,-1.726411,-0.226469,0.157705,-2.051984,-0.263034,0.055138,-2.257772,-0.281226,0.308695,-0.928280,-0.207371,0.112343,-1.731232,-0.276376,-0.016209,-2.126448,-0.304273,-0.106714,-2.388286,-0.332491,0.104029,-0.859808,-0.255960,-0.042778,-1.646407,-0.314262,-0.137727,-2.037003,-0.320050,-0.198056,-2.316054,-0.330622,-0.113248,-0.797744,-0.294978,-0.210404,-1.416930,-0.351823,-0.257151,-1.727701,-0.357874,-0.274624,-1.996895,-0.359952,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.200804,-0.405775,-0.000453,-0.297845,-0.901076,-0.048100,-0.283035,-1.379454,-0.094610,-0.229156,-1.696911,-0.144101,-0.350979,-1.058359,-0.162426,-0.095161,-1.644725,-0.248873,0.048641,-1.922576,-0.294254,0.160635,-2.130135,-0.321401,-0.213668,-0.953448,-0.212796,0.016345,-1.648099,-0.295703,0.160661,-2.000254,-0.325038,0.266264,-2.249569,-0.342659,-0.036165,-0.816627,-0.254720,0.139141,-1.530643,-0.325616,0.252437,-1.917063,-0.337827,0.328335,-2.195885,-0.339844,0.164788,-0.697352,-0.292588,0.264107,-1.292258,-0.339001,0.306691,-1.627698,-0.337791,0.338018,-1.907481,-0.330333,1.000000,0.000000,0.000000,0.000000,0.276318,-0.354318,0.028256,0.474027,-0.856718,-0.006094,0.499758,-1.358572,-0.039395,0.440633,-1.727987,-0.087035,0.505701,-1.015357,-0.164728,0.303361,-1.765518,-0.243002,0.155341,-2.094338,-0.274157,0.050233,-2.300728,-0.288498,0.322067,-0.920479,-0.221338,0.111205,-1.759933,-0.291005,-0.025710,-2.157318,-0.316275,-0.118820,-2.420416,-0.342665,0.116060,-0.852515,-0.264247,-0.041586,-1.664236,-0.322204,-0.135660,-2.060205,-0.324131,-0.192696,-2.341981,-0.332081,-0.101383,-0.804723,-0.297857,-0.196349,-1.439904,-0.352982,-0.239282,-1.753136,-0.354615,-0.255742,-2.019095,-0.353745,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.195969,-0.407529,-0.001490,-0.297527,-0.916971,-0.048315,-0.283676,-1.402278,-0.093114,-0.240189,-1.729585,-0.138098,-0.363157,-1.064857,-0.166379,-0.099970,-1.681828,-0.249535,0.049637,-1.953696,-0.289341,0.162274,-2.156739,-0.312582,-0.224968,-0.950377,-0.214879,0.018245,-1.661082,-0.293638,0.164539,-2.015945,-0.319158,0.271906,-2.267521,-0.334652,-0.046561,-0.816213,-0.254697,0.144573,-1.540141,-0.320036,0.255296,-1.929615,-0.330947,0.329989,-2.211620,-0.333725,0.153688,-0.706463,-0.290905,0.264138,-1.292126,-0.333413,0.304683,-1.624855,-0.332485,0.337250,-1.900499,-0.325769,1.000000,0.000000,0.000000,0.000000,0.267875,-0.355071,0.036142,0.461697,-0.857974,0.003211,0.493113,-1.350316,-0.030066,0.445085,-1.724371,-0.080639,0.508120,-1.009998,-0.178014,0.302724,-1.749465,-0.257937,0.150058,-2.071356,-0.285768,0.039203,-2.273042,-0.298989,0.329722,-0.912334,-0.242757,0.118942,-1.742552,-0.317104,-0.021903,-2.143855,-0.345306,-0.123225,-2.416422,-0.375759,0.122202,-0.833477,-0.291629,-0.030737,-1.659153,-0.359496,-0.133921,-2.064934,-0.368275,-0.202237,-2.362486,-0.381852,-0.102354,-0.769718,-0.328553,-0.200616,-1.419195,-0.395790,-0.246889,-1.735765,-0.404014,-0.266120,-2.012903,-0.408260,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.194755,-0.399749,0.007651,-0.282428,-0.901437,-0.034682,-0.263437,-1.367219,-0.077480,-0.224485,-1.677846,-0.121837,-0.346858,-1.056699,-0.145353,-0.087435,-1.652919,-0.221672,0.058124,-1.927240,-0.258390,0.171435,-2.131364,-0.279582,-0.210413,-0.957567,-0.196956,0.018743,-1.648561,-0.270742,0.164316,-1.993267,-0.294299,0.270274,-2.234726,-0.306644,-0.034066,-0.824671,-0.239620,0.136102,-1.525478,-0.303103,0.254128,-1.905546,-0.310614,0.330625,-2.186100,-0.309489,0.166368,-0.704753,-0.277614,0.260533,-1.285913,-0.318319,0.303371,-1.609808,-0.312935,0.332996,-1.881687,-0.302402,1.000000,0.000000,0.000000,0.000000,0.260789,-0.377163,0.044168,0.446316,-0.868982,0.017361,0.468814,-1.365619,-0.012695,0.406169,-1.725960,-0.057597,0.464517,-1.024070,-0.127935,0.260426,-1.745978,-0.197063,0.119844,-2.052310,-0.227646,0.021967,-2.250089,-0.242001,0.285360,-0.939556,-0.189219,0.082427,-1.737940,-0.245243,-0.046036,-2.114283,-0.267192,-0.134785,-2.367498,-0.292495,0.088894,-0.876587,-0.237300,-0.054493,-1.647146,-0.281726,-0.144790,-2.027235,-0.281845,-0.202272,-2.302722,-0.290906,-0.116964,-0.826374,-0.275809,-0.200892,-1.429247,-0.317957,-0.241419,-1.720804,-0.315081,-0.261129,-1.974103,-0.312968,1.000000
Pray_Sign,0.000000,0.000000,0.000000,-0.186387,-0.425316,0.022478,-0.276186,-0.917297,-0.015257,-0.258762,-1.384775,-0.056473,-0.211193,-1.681091,-0.099008,-0.347483,-1.064739,-0.136770,-0.086848,-1.654856,-0.211714,0.058485,-1.898926,-0.246303,0.172641,-2.083535,-0.267985,-0.208253,-0.958190,-0.196218,0.022285,-1.654104,-0.274713,0.165137,-1.990319,-0.300504,0.275975,-2.229695,-0.314959,-0.031243,-0.824881,-0.245564,0.142759,-1.536360,-0.314851,0.254269,-1.915569,-0.326447,0.332548,-2.201965,-0.328383,0.169610,-0.712018,-0.288447,0.268861,-1.293318,-0.332886,0.304519,-1.619099,-0.331492,0.332047,-1.908212,-0.324780,1.000000,0.000000,0.000000,0.000000,0.253781,-0.369751,0.049507,0.436337,-0.851812,0.025556,0.454402,-1.340404,-0.002094,0.383318,-1.683635,-0.045073,0.443943,-1.023438,-0.123247,0.245571,-1.717664,-0.184588,0.110766,-2.009988,-0.206008,0.017596,-2.186241,-0.214424,0.268852,-0.945193,-0.185282,0.075090,-1.703921,-0.236786,-0.045537,-2.055967,-0.252537,-0.126635,-2.286091,-0.272127,0.078195,-0.876590,-0.233370,-0.057941,-1.615821,-0.274725,-0.143447,-1.984236,-0.273139,-0.196082,-2.246996,-0.280532,-0.120500,-0.808566,-0.271191,-0.195203,-1.401449,-0.310933,-0.231370,-1.687494,-0.307243,-0.247797,-1.935161,-0.304541,1.000000
