label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193
J,0.000000,0.000000,0.000000,-0.256583,-0.256577,-0.032903,-0.412451,-0.665994,-0.040302,-0.449634,-1.070966,-0.070636,-0.386882,-1.378165,-0.090767,-0.235821,-0.982715,0.115885,-0.269408,-1.285354,0.017358,-0.256586,-1.033731,-0.056786,-0.227410,-0.805965,-0.088381,-0.096338,-0.991446,0.088049,-0.129635,-1.336995,-0.022465,-0.129305,-0.968849,-0.075323,-0.104613,-0.689393,-0.072143,0.056843,-0.961015,0.038346,0.019918,-1.299711,-0.073425,-0.004044,-0.919406,-0.053297,0.007821,-0.633164,0.004786,0.225528,-0.875987,-0.016373,0.174654,-1.196293,-0.078505,0.124723,-0.963047,-0.040343,0.116808,-0.737708,0.015075,0.000000,0.000000,0.000000,-0.201000,-0.238266,-0.056103,-0.348799,-0.642085,-0.077413,-0.404963,-1.003655,-0.111300,-0.364036,-1.290931,-0.126497,-0.206666,-0.994715,0.061887,-0.255203,-1.245747,-0.046763,-0.241484,-0.930369,-0.103200,-0.209465,-0.755829,-0.121987,-0.078657,-0.995863,0.045495,-0.132414,-1.251530,-0.060815,-0.130263,-0.862026,-0.077793,-0.095670,-0.721207,-0.056554,0.061786,-0.953965,0.003637,0.010462,-1.222439,-0.106584,-0.009794,-0.836245,-0.056815,0.013719,-0.664485,0.014168,0.211622,-0.864375,-0.045645,0.147351,-1.122818,-0.099355,0.105686,-0.878132,-0.049212,0.115496,-0.727142,0.009738,0.000000,0.000000,0.000000,-0.218778,-0.230503,-0.047467,-0.373684,-0.629288,-0.062763,-0.424050,-0.985902,-0.094023,-0.399700,-1.289566,-0.108214,-0.208612,-0.988467,0.072459,-0.281921,-1.241203,-0.040010,-0.267048,-0.928414,-0.101818,-0.221519,-0.732978,-0.121273,-0.082739,-0.995206,0.052156,-0.152906,-1.268002,-0.061673,-0.147035,-0.865020,-0.085356,-0.098607,-0.689123,-0.064969,0.055330,-0.967207,0.006846,-0.013067,-1.249865,-0.107879,-0.027907,-0.846116,-0.061568,0.009922,-0.649160,0.010071,0.208562,-0.893831,-0.045275,0.137077,-1.189864,-0.101836,0.092987,-0.932464,-0.051209,0.106297,-0.758362,0.010271,-0.470858,1.005855,-0.000001,2.891765,2.603763
J,0.000000,0.000000,0.000000,-0.263126,-0.187778,-0.033099,-0.450669,-0.579259,-0.038697,-0.514017,-0.981319,-0.065965,-0.436498,-1.264522,-0.079744,-0.272762,-0.961073,0.102550,-0.328981,-1.262882,-0.002020,-0.310547,-0.962465,-0.073484,-0.272962,-0.732328,-0.101259,-0.132059,-0.988190,0.077724,-0.191361,-1.313927,-0.035457,-0.174955,-0.907804,-0.079145,-0.133251,-0.649756,-0.068320,0.023498,-0.980777,0.030961,-0.038205,-1.301758,-0.080502,-0.046756,-0.886341,-0.050461,-0.018437,-0.614536,0.014498,0.193235,-0.923961,-0.020944,0.126930,-1.236115,-0.080340,0.083513,-0.977800,-0.038391,0.089398,-0.757668,0.019896,0.000000,0.000000,0.000000,-0.204928,-0.230379,-0.049165,-0.355713,-0.620238,-0.065489,-0.423133,-0.962961,-0.094846,-0.391800,-1.255802,-0.105562,-0.208934,-0.986433,0.068003,-0.276680,-1.213859,-0.036905,-0.259483,-0.899434,-0.092996,-0.211830,-0.719294,-0.111327,-0.087277,-0.994807,0.052358,-0.158431,-1.226438,-0.049857,-0.149708,-0.843210,-0.065538,-0.100063,-0.697969,-0.043908,0.048728,-0.963635,0.011952,-0.018807,-1.212808,-0.092350,-0.033441,-0.838290,-0.045152,0.003837,-0.671403,0.022931,0.197406,-0.883971,-0.035510,0.121831,-1.143062,-0.084794,0.078509,-0.897871,-0.036191,0.092912,-0.741425,0.021058,0.000000,0.000000,0.000000,-0.232477,-0.218574,-0.032671,-0.390417,-0.621434,-0.037468,-0.446304,-0.981836,-0.063355,-0.430202,-1.289237,-0.074055,-0.229536,-0.973877,0.103910,-0.301052,-1.241633,-0.006558,-0.283350,-0.936428,-0.072691,-0.233220,-0.734814,-0.094596,-0.104766,-0.991469,0.077544,-0.172560,-1.284568,-0.035032,-0.160538,-0.883571,-0.066038,-0.108163,-0.692795,-0.048179,0.037310,-0.979998,0.026383,-0.032655,-1.284201,-0.085802,-0.042762,-0.873511,-0.045233,-0.001971,-0.660017,0.024878,0.198129,-0.924023,-0.030664,0.118056,-1.226167,-0.085576,0.076931,-0.965667,-0.037186,0.095066,-0.783892,0.024229,-0.363335,1.137564,-0.000000,3.064470,2.566170
J,0.000000,0.000000,0.000000,-0.286916,-0.197219,-0.036988,-0.475772,-0.587579,-0.045308,-0.545470,-0.998609,-0.076376,-0.492322,-1.325310,-0.096883,-0.314154,-0.930957,0.119906,-0.365661,-1.250862,0.021204,-0.344520,-1.022263,-0.056957,-0.303584,-0.794099,-0.090991,-0.172269,-0.980439,0.095196,-0.224752,-1.336928,-0.015959,-0.206759,-0.983259,-0.073566,-0.164525,-0.690898,-0.073251,-0.013417,-0.987935,0.047938,-0.063337,-1.328041,-0.066119,-0.071218,-0.947393,-0.053792,-0.046259,-0.639478,0.000730,0.164805,-0.946923,-0.004489,0.109662,-1.267530,-0.069579,0.068964,-1.033010,-0.037142,0.065673,-0.791841,0.014960,0.000000,0.000000,0.000000,-0.226107,-0.199292,-0.045315,-0.396038,-0.577481,-0.058591,-0.465005,-0.940176,-0.089517,-0.436106,-1.242725,-0.106133,-0.269843,-0.954667,0.096514,-0.324039,-1.208153,-0.009928,-0.295792,-0.921861,-0.079809,-0.255237,-0.714909,-0.106591,-0.141246,-0.987064,0.075856,-0.196805,-1.252031,-0.033574,-0.171378,-0.874723,-0.071941,-0.131371,-0.666269,-0.061290,0.002345,-0.979338,0.030429,-0.053533,-1.244283,-0.080278,-0.050017,-0.862622,-0.049735,-0.020373,-0.636654,0.012114,0.160575,-0.922838,-0.021447,0.090929,-1.189060,-0.078913,0.063949,-0.939330,-0.037530,0.078000,-0.751853,0.018077,0.000000,0.000000,0.000000,-0.249914,-0.202968,-0.027680,-0.419210,-0.586967,-0.032610,-0.481629,-0.940484,-0.061259,-0.484857,-1.259321,-0.076453,-0.262089,-0.964105,0.108576,-0.341405,-1.236700,-0.004313,-0.321891,-0.929132,-0.074527,-0.268362,-0.712387,-0.098043,-0.139754,-0.987141,0.077601,-0.222167,-1.296626,-0.039493,-0.200839,-0.886213,-0.076864,-0.137183,-0.675464,-0.061618,0.002882,-0.988023,0.022561,-0.084553,-1.307177,-0.091558,-0.082090,-0.884810,-0.054719,-0.029820,-0.656614,0.014036,0.166560,-0.948843,-0.037753,0.069673,-1.263978,-0.093505,0.035602,-0.996955,-0.044562,0.062766,-0.802949,0.018004,-0.606915,1.111095,-0.000001,3.430731,2.709793
J,0.000000,0.000000,0.000000,-0.287164,-0.195608,-0.029307,-0.471746,-0.554340,-0.034033,-0.536779,-0.956867,-0.063954,-0.505159,-1.290406,-0.083085,-0.293816,-0.933154,0.131077,-0.358878,-1.227968,0.026129,-0.338775,-0.967512,-0.053404,-0.287084,-0.733344,-0.086002,-0.161564,-0.981707,0.100736,-0.227407,-1.335137,-0.015642,-0.209227,-0.945215,-0.072120,-0.151654,-0.670073,-0.069421,-0.009593,-0.993999,0.047375,-0.077046,-1.345447,-0.068237,-0.078826,-0.937907,-0.045886,-0.031958,-0.653544,0.015706,0.163324,-0.956687,-0.011193,0.084569,-1.295149,-0.072580,0.048159,-1.042361,-0.029339,0.069181,-0.813812,0.030973,0.000000,0.000000,0.000000,-0.237747,-0.201050,-0.041949,-0.414795,-0.574685,-0.056806,-0.486401,-0.944769,-0.090580,-0.466926,-1.261272,-0.111042,-0.271919,-0.957542,0.087910,-0.337548,-1.218917,-0.024807,-0.314375,-0.929368,-0.097418,-0.269203,-0.718105,-0.125153,-0.142554,-0.987829,0.062222,-0.212395,-1.280475,-0.053933,-0.190321,-0.894807,-0.092621,-0.141315,-0.676253,-0.080794,0.004420,-0.983436,0.012417,-0.066514,-1.271250,-0.105403,-0.063096,-0.880131,-0.073574,-0.023814,-0.644918,-0.008705,0.167452,-0.933416,-0.043299,0.084009,-1.214010,-0.104747,0.058415,-0.962117,-0.061477,0.081162,-0.768161,-0.003534,0.000000,0.000000,0.000000,-0.236833,-0.223383,-0.028968,-0.395220,-0.608897,-0.037685,-0.449737,-0.964146,-0.068968,-0.441125,-1.282226,-0.086524,-0.232784,-0.976292,0.104163,-0.308448,-1.252687,-0.008699,-0.300082,-0.951357,-0.078717,-0.251163,-0.741726,-0.102617,-0.114718,-0.990603,0.074466,-0.191359,-1.291299,-0.041462,-0.180093,-0.892582,-0.076569,-0.121041,-0.693250,-0.060645,0.022192,-0.980414,0.020739,-0.057774,-1.285231,-0.091916,-0.063277,-0.879384,-0.054257,-0.015076,-0.664225,0.014049,0.178711,-0.926802,-0.038467,0.089464,-1.236267,-0.092383,0.051648,-0.976686,-0.042989,0.076172,-0.789684,0.019341,-0.293878,1.433564,-0.000001,3.925817,2.682710
J,0.000000,0.000000,0.000000,-0.279092,-0.227647,-0.006796,-0.453655,-0.615400,-0.000767,-0.505959,-1.013594,-0.025364,-0.467327,-1.342791,-0.045575,-0.255402,-0.952731,0.158982,-0.309227,-1.262521,0.066610,-0.332294,-1.109933,-0.011371,-0.319716,-0.901004,-0.045060,-0.117798,-0.985839,0.119354,-0.179262,-1.339674,0.013003,-0.184530,-0.974295,-0.047220,-0.140231,-0.673907,-0.046853,0.040819,-0.978928,0.058841,-0.025504,-1.323662,-0.052800,-0.043525,-0.920013,-0.038717,-0.005848,-0.614698,0.018713,0.221902,-0.922158,-0.004107,0.150979,-1.265805,-0.064744,0.096680,-1.013830,-0.023900,0.101731,-0.768216,0.034916,0.000000,0.000000,0.000000,-0.244801,-0.251504,-0.028757,-0.395341,-0.642966,-0.033024,-0.446567,-1.027220,-0.062251,-0.411270,-1.349050,-0.082240,-0.228271,-0.961191,0.139239,-0.281163,-1.224097,0.042088,-0.274019,-1.002027,-0.029168,-0.236987,-0.813194,-0.058790,-0.101715,-0.988621,0.110823,-0.155811,-1.295216,0.004411,-0.150060,-0.931612,-0.044207,-0.105757,-0.703966,-0.038108,0.043385,-0.983170,0.058275,-0.011328,-1.274932,-0.052396,-0.026269,-0.892230,-0.033494,0.005682,-0.648596,0.024232,0.208938,-0.927804,0.000778,0.143884,-1.216400,-0.054858,0.095062,-0.968681,-0.015895,0.098531,-0.758947,0.039412,0.000000,0.000000,0.000000,-0.227174,-0.255610,-0.021724,-0.374890,-0.660324,-0.026821,-0.421189,-1.025582,-0.056437,-0.386666,-1.336557,-0.073476,-0.177137,-1.002349,0.113426,-0.243763,-1.297157,0.004765,-0.265541,-1.052351,-0.063860,-0.244966,-0.836858,-0.087314,-0.054774,-0.995130,0.081952,-0.129711,-1.309670,-0.035774,-0.137725,-0.907675,-0.075291,-0.089600,-0.676772,-0.060896,0.086346,-0.965489,0.027548,0.012902,-1.287791,-0.087752,-0.011631,-0.870218,-0.055080,0.025423,-0.628184,0.011873,0.246040,-0.887987,-0.031084,0.172677,-1.223100,-0.087827,0.117744,-0.970379,-0.041513,0.129386,-0.775369,0.019592,-0.277682,1.078877,-0.000001,4.220343,3.788323
J,0.000000,0.000000,0.000000,-0.303850,-0.204320,-0.031157,-0.499532,-0.599298,-0.024975,-0.558293,-1.026036,-0.042510,-0.504709,-1.351573,-0.050425,-0.326115,-0.931810,0.146948,-0.390656,-1.244835,0.063930,-0.378703,-1.075485,-0.005162,-0.340812,-0.872599,-0.034342,-0.167198,-0.978208,0.123097,-0.226807,-1.302143,0.016636,-0.211080,-0.947926,-0.044415,-0.170995,-0.639739,-0.043552,0.004026,-0.973375,0.076804,-0.050955,-1.273265,-0.044488,-0.054372,-0.892460,-0.042550,-0.027463,-0.568123,0.010795,0.196287,-0.915753,0.027666,0.139886,-1.218496,-0.043987,0.096777,-0.990035,-0.015390,0.088419,-0.737995,0.037933,0.000000,0.000000,0.000000,-0.218043,-0.221173,-0.059455,-0.376264,-0.611072,-0.081897,-0.439409,-0.991551,-0.119139,-0.406228,-1.322341,-0.140819,-0.240794,-0.975202,0.075013,-0.303145,-1.210393,-0.040606,-0.270073,-0.923413,-0.111184,-0.217614,-0.732140,-0.137795,-0.110646,-0.992067,0.059666,-0.176077,-1.252967,-0.056323,-0.149208,-0.873137,-0.090008,-0.098464,-0.683499,-0.076657,0.037142,-0.974691,0.017909,-0.020635,-1.262969,-0.105548,-0.024677,-0.873213,-0.073879,0.006656,-0.651948,-0.008161,0.203479,-0.911199,-0.030624,0.137140,-1.188932,-0.095160,0.095919,-0.951120,-0.056836,0.096072,-0.768357,-0.002398,0.000000,0.000000,0.000000,-0.268241,-0.236068,-0.019433,-0.430853,-0.640929,-0.018960,-0.486779,-1.037775,-0.046655,-0.455215,-1.375716,-0.063445,-0.227237,-0.971143,0.141825,-0.302442,-1.264191,0.033165,-0.298071,-0.983723,-0.042095,-0.253477,-0.755063,-0.070095,-0.097990,-0.989358,0.107554,-0.182024,-1.330386,-0.009058,-0.175091,-0.918155,-0.056733,-0.114559,-0.674084,-0.047579,0.054724,-0.989582,0.048630,-0.027950,-1.356793,-0.070200,-0.042287,-0.915144,-0.040570,0.006086,-0.649828,0.027261,0.233054,-0.946726,-0.014635,0.144893,-1.296942,-0.075136,0.094915,-1.028162,-0.028559,0.114230,-0.813546,0.034398,-0.502974,1.276572,-0.000001,4.003017,2.917467
J,0.000000,0.000000,0.000000,-0.318475,-0.233359,-0.002227,-0.498250,-0.569809,0.003702,-0.571089,-0.984318,-0.025707,-0.544550,-1.345482,-0.047978,-0.258779,-0.930405,0.203811,-0.343437,-1.220360,0.106298,-0.356007,-0.999321,0.019810,-0.317389,-0.760362,-0.018914,-0.125844,-0.979032,0.160184,-0.224076,-1.366527,0.045204,-0.227325,-0.950258,-0.025425,-0.158086,-0.652767,-0.030166,0.035539,-1.003058,0.092678,-0.058894,-1.397487,-0.029647,-0.079563,-0.942812,-0.017891,-0.021682,-0.626404,0.041430,0.229232,-0.978244,0.022862,0.134228,-1.350291,-0.042326,0.074075,-1.072200,0.001608,0.094853,-0.818498,0.065375,0.000000,0.000000,0.000000,-0.200024,-0.252693,-0.040653,-0.338192,-0.656129,-0.051330,-0.393664,-1.002847,-0.080290,-0.371888,-1.314728,-0.093483,-0.168131,-0.997029,0.096924,-0.242188,-1.220347,-0.008042,-0.234562,-0.909270,-0.072809,-0.188549,-0.725609,-0.097014,-0.053894,-0.995693,0.075442,-0.130214,-1.245884,-0.031746,-0.128824,-0.855519,-0.060767,-0.077852,-0.683357,-0.045927,0.080422,-0.964235,0.028687,0.005354,-1.242260,-0.084603,-0.012879,-0.850044,-0.048096,0.027611,-0.647460,0.017672,0.230957,-0.887741,-0.024200,0.154894,-1.175744,-0.081322,0.109847,-0.931845,-0.037856,0.126192,-0.755142,0.018728,0.000000,0.000000,0.000000,-0.224652,-0.283885,-0.013789,-0.353521,-0.695648,-0.015488,-0.386369,-1.071656,-0.044973,-0.368353,-1.407862,-0.061833,-0.140760,-1.005090,0.122553,-0.211245,-1.312041,0.010039,-0.238764,-1.023009,-0.059536,-0.206998,-0.797019,-0.082419,-0.026694,-0.995977,0.085545,-0.108661,-1.347470,-0.036806,-0.129294,-0.943176,-0.075529,-0.074634,-0.718707,-0.059694,0.111293,-0.975517,0.024948,0.019432,-1.352567,-0.095123,-0.011922,-0.937022,-0.062647,0.036368,-0.689651,0.005638,0.270955,-0.914352,-0.039478,0.173831,-1.287423,-0.101594,0.115654,-1.042046,-0.056604,0.136524,-0.828496,0.005640,-0.177745,1.743673,-0.000001,5.145752,2.935884
J,0.000000,0.000000,0.000000,-0.288455,-0.202051,-0.019635,-0.476247,-0.587169,-0.016718,-0.551974,-0.985119,-0.042520,-0.507897,-1.309273,-0.059189,-0.245765,-0.961929,0.147985,-0.321718,-1.257006,0.055853,-0.343779,-1.014209,-0.016355,-0.309580,-0.770336,-0.045939,-0.110743,-0.987059,0.115973,-0.189543,-1.336010,0.004676,-0.207985,-0.935185,-0.052580,-0.151182,-0.635251,-0.048291,0.046503,-0.973450,0.062080,-0.037195,-1.329036,-0.056790,-0.064822,-0.898422,-0.043425,-0.015889,-0.582108,0.015657,0.226076,-0.910019,0.005123,0.148620,-1.261710,-0.063696,0.087273,-1.003536,-0.028200,0.102772,-0.749832,0.029330,0.000000,0.000000,0.000000,-0.210420,-0.246756,-0.037530,-0.356821,-0.640339,-0.050193,-0.407687,-0.994333,-0.083250,-0.378550,-1.307827,-0.102886,-0.186433,-0.991734,0.094805,-0.255446,-1.250301,-0.007871,-0.261441,-0.987430,-0.072893,-0.231707,-0.780839,-0.096766,-0.066162,-0.995313,0.070534,-0.139775,-1.273541,-0.036931,-0.145254,-0.896971,-0.072740,-0.105976,-0.685653,-0.061273,0.072470,-0.966741,0.022851,0.000831,-1.273697,-0.089882,-0.022872,-0.880898,-0.059345,0.006780,-0.640232,0.003554,0.228716,-0.890209,-0.030224,0.154398,-1.195182,-0.088552,0.103219,-0.966986,-0.048322,0.108229,-0.778912,0.006444,0.000000,0.000000,0.000000,-0.249428,-0.274871,-0.009623,-0.393952,-0.672962,-0.009403,-0.436987,-1.049411,-0.040379,-0.418240,-1.384622,-0.063029,-0.172355,-0.990134,0.150272,-0.240408,-1.288794,0.044006,-0.268856,-1.052283,-0.030509,-0.244761,-0.822679,-0.057706,-0.055905,-0.992386,0.109746,-0.133257,-1.351442,-0.010327,-0.156939,-0.945902,-0.061361,-0.102888,-0.689343,-0.051299,0.086510,-0.976842,0.045721,0.008648,-1.344282,-0.074951,-0.026347,-0.921481,-0.051465,0.019198,-0.656353,0.014055,0.255150,-0.916784,-0.021333,0.168586,-1.277471,-0.082978,0.108916,-1.027134,-0.037785,0.129773,-0.814390,0.025787,-0.370908,1.273261,-0.000000,3.446189,2.598572
J,0.000000,0.000000,0.000000,-0.292325,-0.240199,-0.006008,-0.467981,-0.612617,0.000969,-0.539541,-1.026002,-0.021298,-0.490089,-1.346340,-0.035225,-0.240746,-0.951547,0.165475,-0.313503,-1.248346,0.080532,-0.330968,-1.051058,0.008606,-0.298812,-0.838586,-0.024104,-0.108796,-0.985649,0.129070,-0.184315,-1.351021,0.027364,-0.194237,-0.955795,-0.028571,-0.140520,-0.672788,-0.027774,0.046341,-0.985276,0.072523,-0.030307,-1.339621,-0.030704,-0.054500,-0.921045,-0.009550,-0.010972,-0.632911,0.048559,0.225628,-0.926139,0.012933,0.153508,-1.278248,-0.040549,0.095890,-1.018183,0.004613,0.110747,-0.784088,0.064409,0.000000,0.000000,0.000000,-0.228794,-0.254229,-0.039602,-0.376525,-0.644909,-0.055643,-0.427063,-1.007204,-0.092164,-0.403389,-1.328237,-0.115010,-0.203759,-0.993838,0.091102,-0.274605,-1.277031,-0.018094,-0.275478,-1.009292,-0.088217,-0.243705,-0.795163,-0.114038,-0.079664,-0.994567,0.067009,-0.151775,-1.292263,-0.044321,-0.157260,-0.904913,-0.083408,-0.117402,-0.684929,-0.073074,0.062228,-0.961855,0.019443,-0.002657,-1.288893,-0.094912,-0.029338,-0.885688,-0.063577,0.001249,-0.634183,0.000718,0.220447,-0.878278,-0.033777,0.150837,-1.189623,-0.095776,0.096795,-0.952636,-0.054922,0.103613,-0.752862,0.002245,0.000000,0.000000,0.000000,-0.240966,-0.278889,-0.007248,-0.379293,-0.676231,-0.006537,-0.420174,-1.044097,-0.036567,-0.402759,-1.375424,-0.057688,-0.161427,-0.997675,0.145453,-0.233053,-1.298409,0.043152,-0.269402,-1.066241,-0.027847,-0.248401,-0.846338,-0.054106,-0.049407,-0.993265,0.104800,-0.128893,-1.346506,-0.010231,-0.159184,-0.950215,-0.057776,-0.109391,-0.703045,-0.047737,0.088896,-0.973207,0.041679,0.007371,-1.337314,-0.073780,-0.029403,-0.920050,-0.048779,0.014619,-0.657638,0.015153,0.253782,-0.911604,-0.024451,0.168733,-1.267128,-0.084286,0.110302,-1.026178,-0.039956,0.129771,-0.819103,0.021910,-0.469759,1.238669,-0.000001,3.859413,2.913302
J,0.000000,0.000000,0.000000,-0.275335,-0.248155,-0.016214,-0.443341,-0.647276,-0.017908,-0.502133,-1.058156,-0.051213,-0.464418,-1.404442,-0.080335,-0.204129,-0.962127,0.161250,-0.257828,-1.252242,0.064187,-0.302475,-1.063056,-0.009053,-0.296891,-0.847742,-0.039515,-0.075522,-0.989775,0.121007,-0.147535,-1.379835,0.004276,-0.181191,-0.965304,-0.049651,-0.132556,-0.665109,-0.040020,0.080165,-0.981293,0.057214,0.006028,-1.369165,-0.073899,-0.037783,-0.916057,-0.057185,0.003489,-0.602810,0.009085,0.261622,-0.925152,-0.008942,0.184799,-1.293656,-0.085836,0.121856,-1.014451,-0.046409,0.138292,-0.759372,0.016042,0.000000,0.000000,0.000000,-0.236959,-0.247271,-0.028864,-0.387418,-0.648508,-0.037620,-0.432024,-1.033790,-0.070890,-0.399186,-1.362458,-0.094573,-0.202360,-0.989438,0.117480,-0.256016,-1.261603,0.013080,-0.263393,-1.007851,-0.060017,-0.234400,-0.788253,-0.089061,-0.075384,-0.993370,0.086800,-0.138834,-1.312715,-0.025298,-0.149288,-0.921282,-0.070474,-0.105092,-0.674145,-0.061261,0.070231,-0.964050,0.032923,0.006988,-1.303183,-0.082295,-0.022472,-0.897846,-0.056213,0.010763,-0.633594,0.007151,0.236555,-0.885657,-0.025584,0.165197,-1.211104,-0.088209,0.111364,-0.965751,-0.047693,0.121703,-0.753436,0.010185,0.000000,0.000000,0.000000,-0.236945,-0.279699,-0.004812,-0.374348,-0.688392,-0.001963,-0.409098,-1.066092,-0.030626,-0.383414,-1.399642,-0.051099,-0.144423,-0.997009,0.145792,-0.210968,-1.301558,0.040600,-0.253096,-1.069147,-0.032490,-0.233594,-0.839676,-0.059544,-0.029598,-0.994261,0.102810,-0.106583,-1.369894,-0.016877,-0.146731,-0.974075,-0.067075,-0.096239,-0.706423,-0.057575,0.112440,-0.974550,0.037372,0.031541,-1.359180,-0.083145,-0.016357,-0.941666,-0.061923,0.027944,-0.664514,0.001032,0.279875,-0.911394,-0.030583,0.191283,-1.280617,-0.094241,0.126570,-1.043749,-0.052293,0.147347,-0.826719,0.008539,-0.609611,1.087126,-0.000001,3.772864,3.027051
